2016 NOC	Occupation Title	Copy for View Profile on SAO/Career Quiz tools
3141	Audiologists and speech-language pathologists	"People in this group diagnose, evaluate and treat individuals with peripheral and central hearing loss, tinnitus and balance problems, human communication disorders including speech, fluency, language, voice and swallowing disorders."
3142	Physiotherapists	"Physiotherapists plan and put treatment programs in place to maintain, improve or rebuild physical ability, ease pain and prevent physical problems for patients."
3143	Occupational therapists	"Occupational therapists help people whose capabilities have been impaired by illness, injury, developmental disorders, emotional or psychological disorders or the aging process."
3144	Other professional occupations in therapy and assessment	"This group includes specialized therapists not elsewhere classified who use techniques such as art, athletic, dance, music or recreational therapy or remedial gymnastics to aid in the treatment of mental and physical disabilities."
3211	Medical laboratory technologists	"Medical laboratory technologists conduct medical laboratory tests, experiments and analyses to assist in the diagnosis, treatment and prevention of disease. Medical laboratory technologists who are also supervisors are included in this group."
3212	Medical laboratory technicians and pathologists' assistants	"Medical laboratory technicians conduct routine medical laboratory tests, and set up, clean and maintain medical laboratory equipment. Pathologists' assistants assist at autopsies and examinations of surgical specimens, perform autopsies under a pathologist's supervision."
3213	Animal health technologists and veterinary technicians	Animal health technologists and veterinary technicians provide technical support to veterinarians by caring for animals and assisting in the diagnosis and treatment of animal health disorders. Animal health technologists and veterinary technicians who are supervisors are included in this group.
3214	"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"	"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists who are supervisors or instructors are in this group. Respiratory therapists assist in the diagnosis, treatment and care of patients with respiratory and cardiopulmonary disorders.  Clinical perfusionists provide technical support to patients undergoing cardiac surgery and patients requiring cardio-respiratory support. Cardiopulmonary technologists assist physicians in the technical aspects of diagnosis and treatment of cardiovascular and pulmonary disease."
3215	Medical radiation technologists	This group includes technologists who operate radiographic and radiation therapy equipment to give radiation treatment and produce images of the body for the diagnosis and treatment of injury and disease. 
3216	Medical sonographers	"Medical sonographers operate ultrasound equipment to produce and record images of various parts of the body to aid physicians in monitoring pregnancies and in diagnosing cardiac, ophthalmic, vascular and other medical disorders. Medical sonographers who are supervisors or instructors are included in this group."
3217	"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."	"People in this occupation operate electrocardiogram and other electronic equipment to record cardiac activity of patients to help with the diagnosis and treatment of heart and other diseases, injuries and abnormalities."
3219	Other medical technologists and technicians (except dental health)	"This group includes medical technologists and technicians not elsewhere classified, such as dietary technicians, ocularists, prosthetists, orthotists, prosthetic technicians and orthotic technicians. "
3221	Denturists	"People in this occupation examine patients and design, construct and repair removable dentures."
3222	Dental hygienists and dental therapists	Dental hygienists and dental therapists work on treating and preventing diseases and disorders of the teeth and mouth.
3223	"Dental technologists, technicians and laboratory assistants"	"People in this occupational group design, prepare and fabricate dentures and dental devices as prescribed by dentists and other specialists, assist dental technologists and technicians in preparing and fabricating dentures and other dental devices.
"
3231	Opticians	"Opticians fit clients with prescription eyeglasses or contact lenses, help clients select eyeglass frames, arrange for the production of eyeglasses or contact lenses and mount lenses in eyeglass frames. Student opticians and opticians who are managers of optical retail outlets are included in this group."
3232	Practitioners of natural healing	"Practitioners of natural healing provide alternative forms of health care to promote, maintain and restore the holistic health of patients. They use traditional Chinese medicine techniques and other forms of treatment including acupuncture, herbology or reflexology."
3233	Licensed practical nurses	"Licensed practical nurses (LPNs) provide nursing care. They may work as part of a team, taking direction from doctors or registered nurses. They can also make certain nursing decisions on their own. This group includes operating room technicians, who are LPNs with additional training."
3234	Paramedical occupations	This  group includes workers who administer pre-hospital emergency medical care to patients with injuries or medical illnesses and transport them to hospitals or other medical facilities for further medical care. Paramedics who are supervisors are included in this group.
3236	Massage therapists	Massage therapists assess and treat soft tissues and joints of the body. Their work helps improve and maintain good health and treat pain from injuries and physical disorders. 
3237	Other technical occupations in therapy and assessment	"This occupational group includes workers, not classified elsewhere, who perform various technical therapy and assessment functions. They assist professionals, such as audiologists, ophthalmologists, speech-language pathologists and physiotherapists."
3411	Dental assistants	"Dental assistants help dentists, dental hygienists and dental therapists while patients are being examined and treated. They also do clerical work."
3413	"Nurse aides, orderlies and patient service associates"	"Nurse aides, orderlies and patient service associates are all types of health care assistants (HCAs). In B.C., HCAs who work in hospitals and facilities are known as care aides. They assist nurses, doctors, hospital and facility staff in the basic care of patients."
3414	Other assisting occupations in support of health services	"People in this occupation provide services and assistance to health-care professionals and other health-care staff.
"
4011	University professors and lecturers	University professors and lecturers teach courses to undergraduate and graduate students at universities. Professors may also carry out research. This group includes department heads.
4012	Post-secondary teaching and research assistants	"Post-secondary teaching and research assistants help university professors, community college and CEGEP teachers and other faculty members in teaching and research activities."
4021	College and other vocational instructors	"College and other vocational—or career-related—instructors teach applied arts and academic, technical and vocational subjects to students at community colleges, Quebec CEGEPs, technical and vocational institutes, language schools and other college-level schools."
4031	Secondary school teachers	"Secondary school teachers work with students from Grades 8 to 12. They teach academic, technical, career preparation and elective subjects. This group includes department heads."
4032	Elementary school and kindergarten teachers	"Elementary school and kindergarten teachers work with children from kindergarten to Grade 7. They teach in core areas such as reading, writing and arithmetic. They may also teach physical education, music and other subjects. Some specialize in second-language instruction."
4033	Educational counsellors	"Educational counsellors guide present and future students on educational issues. They offer career planning and personal development, coordinate counselling services for students, parents, teachers, faculty and staff."
4111	Judges	People in this occupation rule on civil and criminal cases. They deliver justice in courts of law and are in charge of federal and provincial courts.
4112	Lawyers and Quebec notaries	"Lawyers advise clients on legal matters in negotiations and mediations. They also draft legal documents and represent clients before courts of law, tribunals and administrative bodies."
4151	Psychologists	"Psychologists assess and diagnose behavioural, emotional and cognitive disorders, counsel clients, provide therapy and research and apply theory relating to behaviour and mental processes."
4152	Social workers	"Social workers provide counselling, therapy and other supportive social services. They help individuals, couples, families, groups, organizations and communities develop the skills and resources they need to function well in society. Social workers also refer clients to other social services. In addition, they respond to broader social issues such as unemployment, racism and poverty."
4153	"Family, marriage and other related counsellors"	"Family, marriage and other related counsellors help individuals, families and groups identify, understand and overcome their personal problems and reach their goals. Counsellors may specialize in areas including rehabilitation, addiction, marriage and family therapy, behavioural disorders or trauma."
4154	Professional occupations in religion	"Ministers of religion run religious services, give the rites of a religious faith or denomination and provide spiritual and moral guidance and perform other functions associated with the practice of a religion."
4155	Probation and parole officers and related occupations	"People in this occupation check on the conduct and behaviour of criminal offenders serving probation terms, observe them serving the remainder of sentences, and assess inmates and develop their rehabilitation programs."
4156	Employment counsellors	"Employment counsellors offer assistance, advice and information to worker clients on all aspects of employment search and career planning. They also provide advice and information to employer clients regarding human resource and employment issues."
4161	"Natural and applied science policy researchers, consultants and program officers"	"Natural and applied science policy researchers, consultants and program officers do research, prepare reports, give advice and manage programs in a variety of areas related to the natural and applied sciences."
4162	Economists and economic policy researchers and analysts	"Economists and economic policy researchers and analysts do research, follow data, analyze information and prepare reports and plans to solve economic and business problems. They develop models to analyze, explain and forecast economic behaviour and patterns and advise on finance, fiscal and monetary policy, international trade, agricultural and natural resource commodities and labour and industrial markets."
4163	Business development officers and marketing researchers and consultants	"People in this group do research, prepare policies and manage programs to encourage industrial and commercial business investment or tourism in urban and rural areas or to promote commercial or industrial products and services."
4164	"Social policy researchers, consultants and program officers"	"People in this group do research, develop policy and set up or manage programs in areas such as consumer affairs, employment, home economics, immigration, law enforcement, corrections, human rights, housing, labour, family services, foreign aid and international development.
"
4165	"Health policy researchers, consultants and program officers"	"Health policy researchers, consultants and program officers do research, produce reports and manage health-care policies and programs."
4166	"Education policy researchers, consultants and program officers"	"Education policy researchers, consultants and program officers conduct research, produce reports and administer elementary, secondary and post-secondary education policies and programs.
"
4167	"Recreation, sports and fitness policy researchers, consultants and program officers"	"People in this occupation oversee and manage recreation, sports and fitness programs and activities. They offer consultation, do research, and develop programs and policies related to recreation, sports and physical fitness."
4168	Program officers unique to government	"People in this group are mainly concerned with running government institutions, such as Parliament. They undertake activities unique to the operations of government, such as international relations, federal-provincial affairs, elections and tribunals."
4169	"Other professional occupations in social science, n.e.c."	"This group includes anthropologists, archaeologists, geographers, historians, linguists, political scientists, sociologists and other professional occupations in social science not elsewhere classified."
4211	Paralegal and related occupations	"Paralegal and related occupations include paralegals, independent paralegals, notaries public and trademark agents. People in this group prepare legal documents and conduct research to assist lawyers or other professionals, provide legal services to the public as allowed by government legislation, administer oaths, take affidavits, sign legal documents, and advise clients on intellectual property matters."
4212	Social and community service workers	Social and community service workers set up and manage a variety of social assistance programs and community services.
4214	Early childhood educators and assistants	"Early childhood educators (ECEs) work with young children from birth to age five. They create and run educational programs that fuel children’s intellectual, physical, social and emotional growth. Early childhood educator assistants (ECEAs) work under the supervision of ECEs."
4215	Instructors of persons with disabilities	"People in this occupation teach children and adults with physical and developmental disabilities communication techniques, such as Braille or sign language. They also teach rehabilitation skills to increase independence and social skills.
"
4216	Other instructors	"Instructors in this group teach courses, such as motor vehicle or motorcycle driving, sailing and navigation, sewing or other courses, that are outside of educational institutions and not job-related."
4217	Other religious occupations	"This occupational group includes brothers, nuns, monks, religious education workers and others who provide support to ministers of religion or to a religious community who perform certain functions associated with the practice of a religion."
4311	Police officers (except commissioned)	"Police officers protect the public’s safety, make sure that federal, provincial and municipal laws are followed, and prevent and investigate crime. This career group includes military police and railway police."
4312	Firefighters	"Firefighters carry out firefighting and fire prevention activities and help with other emergencies, such as hazardous goods spills and motor vehicle accidents."
4313	Non-commissioned ranks of the Canadian Forces	"This group consists of Canadian Forces personnel who are non-commissioned officers (NCOs) or members of other non-commissioned ranks. They provide collective defence measures to protect Canadian waters, land, airspace and other interests.
"
4411	Home child care providers	"Home child care providers look after the well-being, and physical and social development of children. In B.C., these workers are known as licence-not-required (LNR) child care providers. They may work with children on an ongoing or a short-term basis. Nannies are included in this group. Foster caregivers, often called foster parents, are also included, although their role differs in some ways."
4412	"Home support workers, housekeepers and related occupations"	"In B.C., home support workers are known as community health workers. They are health care assistants (HCAs) that work in people’s homes. There, they provide personal care for seniors, people with disabilities and people recovering from illness or accident. Housekeepers clean, maintain and manage private homes and other residences."
4413	Elementary and secondary school teacher assistants	"People in this group assist in areas of personal care, teaching and behaviour management under the supervision of teachers or other child care professionals. They also assist teachers and counsellors with teaching and non-instructional tasks, support students."
4421	Sheriffs and bailiffs	"Sheriffs execute and enforce court orders, warrants and writs, participate in the seizure and sale of property and perform other related courtroom duties. Bailiffs serve legal orders and documents, seize or repossess properties, evict tenants and perform other related activities.
"
4422	Correctional service officers	People in this occupation guard offenders and detainees and maintain order in correctional facilities and other places of detention.
4423	"By-law enforcement and other regulatory officers, n.e.c."	Bylaw enforcement and other regulatory officers enforce bylaws and regulations of provincial and municipal governments.
5111	Librarians	"Librarians select, develop, organize and maintain library collections and provide programs, instructions and advisory services for users."
5112	Conservators and curators	"People in the group restore and conserve artifacts belonging to museums, galleries and owners of cultural property. They recommend the acquisition of museum and gallery artifacts, research the artistic history of artifacts."
5113	Archivists	"Archivists manage, process, store and disseminate information contained in an organization's archives. "
5121	Authors and writers	"Authors and writers plan, research and write books, scripts, storyboards, plays, essays, speeches, manuals, specifications and other non-journalistic articles for publication or presentation."
5122	Editors	"Editors review, evaluate and edit manuscripts, articles, news reports and other material for publication, broadcast or interactive media and co-ordinate the activities of writers, journalists and other staff."
5123	Journalists	"Journalists research, investigate, interpret and communicate news and public affairs through newspapers, television, radio and other media."
5125	"Translators, terminologists and interpreters"	"People in this group translate written material and oral communication from one language to another. They also perform research to list terms connected with a certain field, define them and find equivalents in another language. In addition, they use sign language to translate spoken language."
5131	"Producers, directors, choreographers and related occupations"	"Producers, directors, choreographers and related occupations oversee and control the technical and artistic aspects of film, television, radio, dance and theatre productions."
5132	"Conductors, composers and arrangers"	"This group includes those who conduct bands and orchestras, compose musical works and arrange instrumental and vocal compositions."
5133	Musicians and singers	"People in this group perform with orchestras, choirs, opera companies and popular bands in establishments such as concert halls, lounges and theatres and in film, television and recording studios. They also teach vocal and instrumental music."
5134	Dancers	"This group includes dancers and dance teachers.  Dancers work for ballet and dance companies, television and film productions, and other establishments. Dance teachers work for dance academies and dance schools.
"
5135	Actors and comedians	"Actors and comedians perform roles in motion picture, television, theatre and radio productions to entertain a variety of audiences. This group includes acting teachers employed by private acting schools."
5136	"Painters, sculptors and other visual artists"	"Painters, sculptors and other visual artists create original paintings, drawings, sculptures, engravings and other artistic works. This group also includes art instructors and teachers."
5211	Library and public archive technicians	"Library and archive technicians and assistants help users to access library and archive resources, do records management, processing and storage, assist in describing new acquisitions, do archive processing and storage and provide general support for client information needs. Library technicians and archive technicians are two distinct occupations."
5212	Technical occupations related to museums and art galleries	"People in this occupation classify and catalogue museum and gallery artifacts, and construct and install exhibits and displays. They restore, maintain and store museum and gallery collections. They also frame artwork."
5221	Photographers	"Photographers operate still cameras to photograph people, events, scenes, materials, products and other subjects. Photographers are employed by photographic studios, newspapers, magazines, museums and government, or they may be self-employed."
5222	Film and video camera operators	"Film and video camera operators operate motion picture and video cameras and related equipment to record news, live events, films, videos and television broadcasts."
5223	Graphic arts technicians	"Graphic arts technicians help conceptualize projects, interpret design specifications or sketches, prepare page mock-ups, layouts and lettering, and prepare production materials for press, electronic or multimedia publishing."
5224	Broadcast technicians	"Broadcast technicians install, set up, test, operate and repair electronic equipment used to record and transmit live and taped radio and television programs and to produce audio and video streaming broadcasts for the internet."
5225	Audio and video recording technicians	"Audio and video recording technicians operate equipment to record, mix and edit sound, music and videotape for motion pictures, television and radio programs, videos, recordings and live events."
5226	"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"	"This occupational group includes a range of technical, coordinating and supervisory workers who coordinate and perform specific activities for television, radio and motion picture productions, news broadcasts, theatre and stage productions, and other live or recorded productions."
5227	"Support occupations in motion pictures, broadcasting, photography and the performing arts"	"People in this occupation play a support role in the production of motion pictures, broadcasting, photography and the performing arts."
5231	Announcers and other broadcasters	"Announcers and other broadcasters read news, sports, weather, commercial and public service messages. They host entertainment and information programs for broadcast on radio or television."
5232	"Other performers, n.e.c."	"This group includes circus performers, magicians, models, puppeteers and other performers.
"
5241	Graphic designers and illustrators	Graphic designers and illustrators conceptualize and create graphic art and visual materials and images to communicate information.  Graphic designers focus on graphic art and visual materials and Illustrators focus on the creation of illustrations to represent information through images.
5242	Interior designers and interior decorators	"Interior designers come up with ideas and produce artistic, practical and safe designs for interior spaces in residential, commercial, cultural, institutional and industrial buildings."
5243	"Theatre, fashion, exhibit and other creative designers"	"Theatre, fashion, exhibit and other creative designers conceptualize and produce designs for film, television, theatre and video productions, garments and textiles, displays and exhibits, and other creative items such as jewellery and trophies."
5244	Artisans and craftspersons	"People in this occupation create a variety of items such as pottery, stained, blown glass, jewellery, rugs, blankets, other handicrafts, ornamental objects, and artistic floral arrangements. "
5245	"Patternmakers - textile, leather and fur products"	"Patternmakers in this  group create master patterns for the production of garments, footwear and other textile, leather or fur products."
5251	Athletes	"Athletes play sports and participate in competitive sports events on an amateur or professional basis.
"
5252	Coaches	"Coaches prepare and train individual athletes or teams for competitive events. This group also includes sports scouts who identify and recruit athletes for professional sports teams.
"
5253	Sports officials and referees	"Sports officials and referees make sure rules and regulations governing sporting events, athletic games and sports competitions are followed."
5254	"Program leaders and instructors in recreation, sport and fitness"	"Program leaders and instructors in recreation, sport and fitness lead and instruct groups and individuals in related programs.    "
6211	Retail sales supervisors	"Retail sales supervisors work in stores, shops and other retail outlets. They may work for businesses that offer rentals for home renovation or landscaping, automotive parts outlets and car and truck rental companies.   "
6221	Technical sales specialists - wholesale trade	"People in this group sell a range of technical goods and services, such as scientific, agricultural and industrial products, electricity, telecommunications services and computer services, to governments and to commercial and industrial establishments in domestic and international locations."
6222	Retail and wholesale buyers	People in this occupation buy merchandise for resale by retail and wholesale establishments. They are usually responsible for the merchandising operations of retail and wholesale establishments.
6231	Insurance agents and brokers	"Insurance agents and brokers sell life, automobile, property, travel, accident and sickness, and other types of insurance to individuals, businesses and public institutions."
6232	Real estate agents and salespersons	"Real estate agents and salespersons help people buy or sell houses, apartments, commercial buildings and other real estate. They may work in a specific area of real estate such as residential, commercial, industrial/institutional, recreational or rural."
6235	Financial sales representatives	"Financial sales representatives sell basic deposit, investment and loan products and services to individuals and businesses."
6311	Food service supervisors	"People in the group supervise, direct and coordinate the activities of workers who prepare, portion and serve food."
6312	Executive housekeepers	"Executive housekeepers direct and control the operations of housekeeping departments within hotels, hospitals and other establishments."
6313	"Accommodation, travel, tourism and related services supervisors"	"People in this group supervise and coordinate the activities of hotel accommodation service clerks, theatre ushers and attendants, reservation clerks, sports and recreation club workers, commissionaires, security guards and other service workers."
6314	Customer and information services supervisors	People in this occupation oversee and co-ordinate the activities of workers in the following groups: Customer Service Representatives - Financial Institutions (NOC 6551) and Other Customer Information Services Representatives (NOC 6552).
6315	Cleaning supervisors	"Cleaning supervisors oversee and coordinate the activities of workers in the following unit groups: Light Duty Cleaners (NOC 6731), Specialized Cleaners (NOC 6732), Janitors, Caretakers and Building Superintendents (NOC 6733)."
6316	Other services supervisors	"Supervisors in this group supervise and co-ordinate the activities of: dry cleaning, laundry, ironing, pressing and finishing workers; theatre ushers and attendants; sports and recreation club workers; commissionaires; security guards and other service workers."
6321	Chefs	Chefs plan and direct food preparation and cooking activities and prepare and cook meals and specialty foods.
6322	Cooks	"Cooks prepare, cook and present meals and specialty foods."
6331	"Butchers, meat cutters and fishmongers - retail and wholesale"	"Butchers, meat cutters and fishmongers in retail and wholesale prepare standard cuts of meat, poultry, fish and shellfish for sale in various food establishments."
6332	Bakers	"Bakers make bread, rolls, muffins, pies, pastries, cakes and cookies in retail and wholesale bakeries and dining establishments."
6341	Hairstylists and barbers	Hairstylists and barbers cut and style hair and perform related services.
6342	"Tailors, dressmakers, furriers and milliners"	"Tailors, dressmakers and furriers make, alter and repair tailored clothing, dresses, coats and other made-to-measure garments. Milliners make, alter and repair hats. This group also includes alterations, who fit, alter and repair garments."
6343	Shoe repairers and shoemakers	Shoe repairers repair footwear and shoemakers make specialized and custom shoes and boots.
6344	"Jewellers, jewellery and watch repairers and related occupations"	"Jewellers and related workers make, assemble, repair and appraise fine jewellery. Watch repairers and related workers repair, clean, adjust and make parts for clocks and watches."
6345	Upholsterers	"Upholsterers cover furniture, fixtures and similar items with fabric, leather or other upholstery materials."
6346	Funeral directors and embalmers	Funeral directors coordinate and arrange all aspects of funeral services. Embalmers prepare the remains of deceased persons for public visitation and burial.
6411	Sales and account representatives - wholesale trade (non-technical)	"People in this occupation sell non-technical goods and services to retail, wholesale, commercial, industrial, professional and other clients domestically and internationally."
6421	Retail salespersons	"Retail salespersons sell, rent or lease goods and services directly to consumers."
6511	Maîtres d'hôtel and hosts/hostesses	Maîtres d'hôtel and hosts/hostesses greet patrons and escort them to tables. They supervise and coordinate the activities of food and beverage servers.
6512	Bartenders	"People in this occupation mix and serve alcoholic and non-alcoholic beverages. This group includes supervisors of bartenders.
"
6513	Food and beverage servers	"Food and beverage servers work in restaurants, hotels, bars, pubs, private clubs and banquet halls. They take food and drink orders and serve them to customers. They may also seat customers and assist with takeout orders."
6521	Travel counsellors	"Travel counsellors give clients information about travel options and tour packages, make bookings and reservations, prepare tickets and receive payment."
6522	Pursers and flight attendants	People in this occupation make sure passengers and crew members are comfortable and safe during flights and aboard ships.
6523	Airline ticket and service agents	"People in this occupation issue tickets and provide fare quotations, make reservations and do passenger check-in, trace missing baggage, arrange for cargo shipments and perform other related customer service duties to help airline passengers."
6524	"Ground and water transport ticket agents, cargo service representatives and related clerks"	"Ticket agents, cargo service representatives and related clerks (except airline) quote fares and rates, make reservations, issue tickets, process cargo shipment, check baggage, perform other related customer service duties to assist travellers."
6525	Hotel front desk clerks	"Hotel front desk clerks make room reservations, provide information and services to guests and receive payments. They are the ""frontline"" for hotels, as they greet customers and assign rooms."
6531	Tour and travel guides	"Tour and travel guides, also known as tour directors or step-on tour guides, escort people on trips or give tours of locations of interest.
"
6532	Outdoor sport and recreational guides	"Outdoor sport and recreational guides organize and conduct trips or expeditions for sports enthusiasts, adventurers, tourists and resort guests."
6533	Casino occupations	"Gambling casino workers operate gaming tables, maintain slot machines, accept keno wagers, pay out winning bets and jackpots, collect losing bets."
6541	Security guards and related security service occupations	"This group includes security guards and other related workers who protect property against theft and vandalism, control access to establishments, maintain order, and enforce regulations at public events and within establishments. They conduct private investigations for clients or employers and provide other protective services not elsewhere classified."
6551	Customer services representatives - financial institutions	"Customer service representatives in financial institutions handle customers’ financial transactions, including cashing cheques, completing money transfers and opening and closing accounts."
6552	Other customer and information services representatives	"Customer and information services representatives answer enquiries and provide information about an establishment's goods, services and policies.
"
6561	"Image, social and other personal consultants"	"Image, social and other personal consultants give advice to clients on their personal appearance, speaking style, manner or other behaviours in order to improve personal or business images."
6562	"Estheticians, electrologists and related occupations"	Workers in this group give facial and body treatments to improve an individual's physical appearance.
6563	Pet groomers and animal care workers	"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets."
6564	Other personal service occupations	"This group includes occupations, not elsewhere classified, that provide psychic consulting, fortune telling, astrological services and other personal services."
6611	Cashiers	"Cashiers run cash registers, optical price scanners, computers or other equipment to record and accept payment for goods, services and admissions.
"
6621	Service station attendants	"Service station attendants sell fuel and other automotive products, offer services such as fuelling, cleaning, lubricating and do minor repairs to motor vehicles. They also rent boats and related equipment, and maintain marina facilities."
6622	"Store shelf stockers, clerks and order fillers"	"Grocery clerks and store shelf stockers pack customers' purchases, price items, stock shelves with merchandise and fill mail and telephone orders."
6623	Other sales related occupations	"Workers in this group sell goods or services during home demonstrations or by telephone soliciting, retail exhibitions or street vending."
6711	"Food counter attendants, kitchen helpers and related support occupations"	"Workers in this group take customer orders, accept payment and serve customers at food counters. They may also prepare, heat and finish cooking simple food items, clear tables, clean kitchen areas and wash dishes, or help workers who prepare or serve food and beverages."
6721	"Support occupations in accommodation, travel and facilities set-up services"	"Workers in this group carry hotel guests' luggage and escort guests to their rooms. They carry travellers' luggage at airports, in railway stations and aboard ships. They clean and maintain public areas and passengers' rooms aboard ships and trains. They also set up rooms and associated furnishings, commercial displays, exhibits, equipment and booths in facilities and establishments."
6722	"Operators and attendants in amusement, recreation and sport"	"People in this group work as operators and attendants in amusement, recreation and sports facilities to assist patrons, collect tickets and fees. They supervise the use of recreational and sports equipment."
6731	Light duty cleaners	"People in this occupation clean the lobbies, hallways, offices and rooms of hotels, motels, resorts, hospitals, schools, office and other buildings and private residences."
6732	Specialized cleaners	"Specialized cleaners clean and refurbish building exteriors, carpets, chimneys, industrial equipment, ventilation systems, windows and other surfaces, using specialized equipment and techniques."
6733	"Janitors, caretakers and building superintendents"	"Janitors, caretakers and building superintendents are usually responsible for cleaning and maintaining commercial, institutional or residential buildings."
6741	"Dry cleaning, laundry and related occupations"	"People in this group operate machines to dry clean or launder garments and other articles, check finished garments and articles to make sure they meet required standards for dry cleaning, laundering and pressing. They assemble, iron and bag finished garments and other articles."
6742	"Other service support occupations, n.e.c."	"This  group includes other support occupations, not elsewhere classified, primarily concerned with the provision of services. Those in occupations in this group are employed by a wide range of establishments, and may be self-employed."
7201	"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"	"This group includes sheet metal, ironwork, welding and boilermaking trade contractors who own and operate their own businesses. This group also includes supervisors who supervise and coordinate the activities of workers classified in the following groups: Sheet Metal Workers (NOC 7233), Boilermakers (NOC 7234), Structural Metal and Platework Fabricators and Fitters (NOC 7235), Ironworkers (NOC 7236), Welders and Related Machine Operators (NOC 7237), Machining Tool Operators (9417), Machinists and Machining and Tooling Inspectors (7231), Tool and Die Makers (7232)."
7202	"Contractors and supervisors, electrical trades and telecommunications occupations"	"Electrical trades and telecommunications contractors own and operate their own telecommunications or electrical trade businesses. Electrical trades and telecommunications contractors supervise and coordinate the activities of workers in the following groups: Electricians (NOC 7241), Industrial Electricians (NOC 7242), Power System Electricians (NOC 7243), Electrical Power Line and Cable Workers (NOC 7244), Telecommunications Line and Cable Workers (NOC 7245), Telecommunications Installation and Repair Workers (NOC 7246), Cable Television Service and Maintenance Technicians (NOC 7247)."
7203	"Contractors and supervisors, pipefitting trades"	"This group includes plumbing and other pipefitting trade contractors who own and operate their own businesses. It also includes supervisors who supervise and coordinate the activities of workers in the following groups: Plumbers (NOC 7251), Steamfitters, Pipefitters and Sprinkler System Installers (NOC 7252), Gas Fitters (NOC 7253)."
7204	"Contractors and supervisors, carpentry trades"	"This group includes carpentry and cabinetmaking trade contractors who own and operate their own businesses. It also includes supervisors who supervise and coordinate the activities of workers classified in the following groups: Carpenters (NOC 7271), Cabinetmakers (NOC 7272).
"
7205	"Contractors and supervisors, other construction trades, installers, repairers and servicers"	"This group includes roofing, masonry, painting and other construction trade contractors, not classified elsewhere, who own and operate their own business. Supervisors in this group supervise and coordinate the activities of various tradespersons, installers, repairers and servicers in the following groups: Masonry and plastering trades, Other construction trades, Other installers, repairers and servicers."
7231	Machinists and machining and tooling inspectors	"Machinists set up and operate a variety of machine tools to cut or grind metal, plastic or other materials to make or modify parts or products with precise dimensions."
7232	Tool and die makers	"People in this group make, repair and modify custom-made, prototype or special tools, dies, jigs, fixtures and gauges using various metals, alloys and plastics which require precise dimensions."
7233	Sheet metal workers	"Sheet metal workers fabricate, assemble, install and repair sheet metal products.
"
7234	Boilermakers	"People in this occupation make, assemble, put up, test, maintain and repair boilers, vessels, tanks, towers, heat exchangers and other heavy-metal structures."
7235	Structural metal and platework fabricators and fitters	"Structural metal and platework fabricators and fitters fabricate, assemble, fit and install steel or other metal components for buildings, bridges, tanks, towers, boilers, pressure vessels and other similar structures and products."
7236	Ironworkers	"Ironworkers are involved in the ironwork portion of the construction of buildings, bridges, highways, dams and other structures and equipment. They make, put up, hoist, install, repair and service structural ironwork, precast concrete, concrete reinforcing materials, curtain walls, ornamental iron and other metals used in construction.  "
7237	Welders and related machine operators	"These workers operate welding equipment to weld ferrous and non-ferrous metals. A welder can be either an artisan or a precision production worker. This group also includes machine operators who operate previously set up production welding, brazing and soldering equipment.  "
7241	Electricians (except industrial and power system)	"Electricians perform a variety of tasks on the electrical systems of buildings and other structures. Their responsibilities range from layout and planning of wiring to installation, troubleshooting and repair of circuits and electrical devices."
7242	Industrial electricians	"Industrial electricians inspect, install, maintain, test, troubleshoot and repair industrial electrical equipment and associated electrical and electronic controls.
"
7243	Power system electricians	"Power system electricians install, maintain, test and repair electrical power generation, transmission and distribution system equipment and apparatus."
7244	Electrical power line and cable workers	"Electrical power line and cable workers construct, maintain and repair overhead and underground electrical power transmission and distribution systems."
7245	Telecommunications line and cable workers	"Telecommunications line and cable workers install, repair and maintain telecommunication lines and cables."
7246	Telecommunications installation and repair workers	"People in this occupation install, test, maintain and repair telephones, telephone switching equipment and telecommunications equipment related to transmission and processing of voice, video signals and other data over a variety of media including fibre optics, microwave, radio and satellite."
7247	Cable television service and maintenance technicians	"People in this occupation install, maintain and repair cable and satellite television, its transmission and distribution systems and associated hardware, internet signal and associated equipment in homes and commercial buildings."
7251	Plumbers	"Plumbers install, repair and maintain pipes, fixtures and other plumbing equipment used for water distribution and waste water disposal in residential, commercial and industrial building."
7252	"Steamfitters, pipefitters and sprinkler system installers"	"Steamfitters and pipefitters design, assemble, install, maintain, troubleshoot and repair pipes carrying water, steam, chemicals and fuel in heating, cooling, lubricating and other process piping systems. Sprinkler system installers design, assemble, install, maintain and repair water, foam, carbon dioxide and dry chemical sprinkler systems in buildings for fire protection purposes."
7253	Gas fitters	"Gas fitters install, inspect, repair and maintain gas lines and gas equipment such as meters, regulators, heating units and appliances in residential, commercial and industrial establishments."
7271	Carpenters	"Carpenters construct, erect, install, maintain and repair structures and components of structures made of wood, wood substitutes, lightweight steel and other materials."
7272	Cabinetmakers	"Cabinetmakers use a variety of woods and laminates to construct and repair wooden cabinets, furniture, fixtures and related products.
"
